nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
4,1-chlorohexane,C6H13Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0902-x.xml,
5,1-chloroheptane,C7H15Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0902-x.xml,
6,1-chlorooctane,C8H17Cl,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0902-x.xml,
1,neon-20,Ne,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0939-5.xml,
2,neon-22,Ne,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0939-5.xml,
1,diethyl ether,C4H10O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0948-4.xml,
1,"1,1,1,2-tetrafluoroethane",C2H2F4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0978-y.xml,
1,matridin-15-one,C15H24N2O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0987-x.xml,
2,dimethyl phosphonate,C2H7O3P,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0989-8.xml,
1,L-histidine,C6H9N3O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0996-9.xml,
2,L-glutamic acid,C5H9NO4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0996-9.xml,
3,L-tryptophan,C11H12N2O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-011-0996-9.xml,
